pyname,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
jiangdu district,306,327,354,371,413,516,718,863,1001,1119,1398,1501,1579,1657,2105,3460,4925,5936,6580,7304,7513,8348,9020,9963,11279,13056,15751,17874,21544,26202,31458,37722,45839,54124,59792,66685,73394,85636
zhenjiang city,785,827,895,982,1075,1168,1485,1766,1914,2210,2586,2959,3145,3387,4734,7092,10395,13098,14578,16132,16808,17458,19620,22130,25171,28529,35846,39457,45943,53576,61246,71654,85954,95959,106767,118230,131236,128165
danyang city,447,493,576,602,633,735,933,1151,1276,1604,2029,2074,2412,2621,3847,5495,7726,10031,12352,13644,14953,16128,17203,18959,21191,24268,28502,31763,37246,44258,52755,62140,75136,89175,102311,113757,124034,109276
yangzhong city,425,475,520,593,622,749,953,1318,1600,2035,2767,2869,2997,3464,4775,7103,10373,13974,16324,15124,17730,19401,21003,22848,25411,29409,34581,39622,45655,53130,62860,77180,88790,107122,128243,140212,157607,139184
jurong city,264,314,337,377,430,491,624,745,902,1048,1240,1314,1518,1745,2356,3832,5272,7014,8152,8463,8969,9510,10290,11397,11686,13421,16283,18277,21405,26447,31165,37122,41567,49548,57250,65432,74673,75014
taizhou city,2299,2490,2914,3001,3244,3594,4516,6287,7554,8856,11408,12163,12264,14006,18431,27980,40178,44185,39635,20008,21955,23539,18599,20337,22748,26134,31745,36306,45648,48201,40441,46689,61210,69111,76750,105612,108504,94438
xinghua city,313,353,375,413,439,495,591,716,831,924,1083,1154,1169,844,1335,1736,2506,3231,3675,3918,4168,4428,4825,5308,5883,6664,8005,9764,11530,13821,17394,20551,24796,29210,32576,36494,39546,53186
jingjiang city,329,376,473,508,564,615,762,989,1173,1404,1717,1764,1878,2133,2910,4985,7421,8487,8030,8354,8770,9476,10228,11369,12697,14605,17513,20060,24355,32957,43743,54629,65998,80265,90135,100382,99713,108973
taixing city,331,333,390,366,427,438,532,805,1021,1207,1656,1680,1760,1936,2354,3310,5167,6052,6100,5524,5934,6410,7172,7975,8930,10160,12429,13603,16172,20133,24241,28155,34073,40462,45361,50906,56377,68781
jiangyan district,289,318,326,354,376,402,490,608,700,825,1098,1223,1308,1370,1828,2590,3834,4550,5677,5140,5486,5891,6425,7184,8070,9518,11734,14928,17934,22826,27420,32155,38644,45825,51171,56917,61495,71400
suqian city,254,261,303,333,348,419,523,524,595,763,933,927,1023,1039,1161,1440,2041,2752,2267,2439,2778,3181,4896,5222,5739,6553,8123,9379,10806,12733,14596,17681,23934,27416,30607,33079,40027,46975
shuyang county,138,145,172,195,252,317,379,430,487,611,764,710,4393,791,908,1096,1470,1816,2022,2464,2982,3250,3616,4028,4466,4987,5744,5958,7010,8271,10265,13071,16852,22014,25720,28464,29962,40720
siyang county,235,241,250,295,338,362,432,529,588,656,810,802,890,929,1155,1422,1991,2237,2429,2774,2930,3131,3328,3708,4052,4415,4836,6229,8387,10307,12645,15693,18892,23052,26423,29016,31250,43073
sihong county,211,211,217,283,342,374,383,494,544,652,755,793,867,840,1150,1568,2235,2892,3129,3476,3751,3964,4234,4675,5171,5735,6591,6779,8081,9524,11689,15078,17796,22042,25095,27930,30317,40394
